"Study","EffectSize","Variance","Density","Precision","Quality","Weight","Weighted_Contribution","Input_Quality"
1,1.2,0.005,0,0.999999999999995,0.9,0.0905893626626441,0.108707235195173,0.9
2,0.287060365720782,0.0492194426478818,0.710886057379365,0.1,0.491408598958515,0.062091601535061,0.0178240378448437,0.491408598958515
3,0.472625682267468,0.0133687929576263,0.946713321480143,0.340211121156567,0.379772133775987,0.0794657792680197,0.0375575681434638,0.379772133775987
4,0.526572520992208,0.0976185922394507,0.823548406683422,0.1,0.283244212041609,0.0575381969454127,0.0302980334188921,0.283244212041609
5,0.4808536646282,0.0488576124003157,0.93016761709998,0.1,0.424844859284349,0.0693729752115011,0.0333582493566116,0.424844859284349
6,0.378775096781703,0.0961818936979398,0.989609156635355,0.1,0.0947369677014649,0.0564679792503397,0.0213886643056146,0.0947369677014649
7,0.702304399487788,0.0898979414952919,0.492006928369198,0.1,0.135643307352439,0.0346933532080768,0.0243652945910161,0.135643307352439
8,0.381068192317381,0.0675980892521329,0.992803750366186,0.1,0.414079242618755,0.0718460894429914,0.0273782594291136,0.414079242618755
9,0.803684742775408,0.0973869949323125,0.329255764179692,0.1,0.346602410194464,0.036991840806925,0.0297297780637024,0.346602410194464
10,0.387457180189516,0.0656954386597499,0.999999999999287,0.1,0.120272369822487,0.0581808927668364,0.022542604652347,0.120272369822487
11,0.660973930844697,0.0400084490142763,0.552237291005507,0.1,0.0214943980099633,0.0321225917439675,0.0212321957339296,0.0214943980099633
12,0.857329078540221,0.0412073423387483,0.226434914790575,0.1,0.0702395470580086,0.0189128877281108,0.0162145686084759,0.0702395470580086
13,0.122227859777532,0.0458636870281771,0.166341065108677,0.1,0.10819270752836,0.0178572503993816,0.00218265349782789,0.10819270752836
14,0.344242246636526,0.0806223498121835,0.917179244439894,0.1,0.239699282101355,0.0599262235072291,0.0206291378125711,0.239699282101355
15,0.373335732721268,0.0135042842011899,0.981525068993099,0.336256072494958,0.0987051711417735,0.0675361012007871,0.0252136398269336,0.0987051711417735
16,0.527190079614015,0.0773915847553872,0.822031913767394,0.1,0.359677918837406,0.0611101457126912,0.0322166625834977,0.359677918837406
17,0.343149415716786,0.0709549147170037,0.91406743772375,0.1,0.00394236936699599,0.0485372945308801,0.016655544258745,0.00394236936699599
18,-0.131291084180955,0.0254137897351757,0.123201429240707,0.153379910757107,0.187744982307777,0.0221384345290279,-0.00290657907138516,0.187744982307777
19,-0.0880933857151039,0.0334979167440906,0.136624643112026,0.103336112353013,0.257203854154795,0.0237041184862543,-0.00208817605284612,0.257203854154795
20,0.664022669146038,0.0562971641193144,0.547658119497351,0.1,0.00078527710866183,0.0309168810638626,0.0205295098856967,0.00078527710866183
