"Method","Bias","RMSE","Coverage","CI_Width","Scenario"
"Egger",-0.0048,0.1057,0.784,0.2731,"A_Ideal"
"FE",-0.0022,0.056,0.719,0.1181,"A_Ideal"
"REML",-3e-04,0.0491,0.927,0.1827,"A_Ideal"
"SYNTHESIS",-0.0025,0.0937,0.981,0.4647,"A_Ideal"
"Egger",0.0022,0.2895,0.684,0.566,"B_HighHet"
"FE",0.0032,0.1537,0.293,0.1164,"B_HighHet"
"REML",0.0022,0.0989,0.932,0.3702,"B_HighHet"
"SYNTHESIS",-0.0026,0.1941,0.943,0.7693,"B_HighHet"
"Egger",-0.0027,0.156,0.714,0.3421,"C_PubBias"
"FE",0.2708,0.2878,0.009,0.1176,"C_PubBias"
"REML",0.4628,0.4702,0,0.296,"C_PubBias"
"SYNTHESIS",0.051,0.1318,0.952,0.553,"C_PubBias"
"Egger",0.0018,0.363,0.706,0.8207,"D_SmallK"
"FE",0.2314,0.2956,0.2,0.2223,"D_SmallK"
"REML",0.361,0.3875,0.254,0.5352,"D_SmallK"
"SYNTHESIS",0.0439,0.3003,0.915,1.1338,"D_SmallK"
"Egger",0.6534,1.47,0.786,2.8254,"E_Outlier"
"FE",0.6241,0.8403,0.128,0.2198,"E_Outlier"
"REML",0.6024,0.6142,0.936,1.6328,"E_Outlier"
"SYNTHESIS",0.4886,0.9946,0.905,3.3944,"E_Outlier"
"Egger",-0.0032,0.191,0.715,0.4267,"F_QualBias"
"FE",0.1398,0.1731,0.205,0.1478,"F_QualBias"
"REML",0.2209,0.2356,0.189,0.3024,"F_QualBias"
"SYNTHESIS",0.037,0.1527,0.94,0.6242,"F_QualBias"
