"Scenario","Method","Bias","MSE","Coverage"
"Ideal","Egger",0.0127138949242367,0.0100747959167456,0.81
"Ideal","SYNTHESIS",0.00817480527988379,0.0053454257560902,0.965
"Ideal","FE",0.00585360813352231,0.00251012402485295,0.74
"Ideal","REML",0.00501213357863584,0.00217134656125996,0.925
"Pub Bias","Egger",0.0214288629690141,0.0424910430339839,0.645
"Pub Bias","SYNTHESIS",0.154453444903011,0.0446997602141872,0.735
"Pub Bias","FE",0.280080584967918,0.092388958041873,0.03
"Pub Bias","REML",0.487901484503684,0.246391376563947,0
"Small k","Egger",-0.0107044803562234,0.116646455102069,0.685
"Small k","SYNTHESIS",0.0957398466325452,0.0670011090098111,0.815
"Small k","FE",0.224876071511891,0.0825768757522553,0.19
"Small k","REML",0.366491768375053,0.151276375821143,0.18

